Employee_ID,SALARY
327814,35.43
322339,41.27
768955,28.85
176707,37.28
75576,36.07
798604,23.45
418199,53.4
250698,37.28
484700,53.4
927910,23.45
913322,49.35
180126,39.53
595987,19.93
358546,36.07
929795,32.46
417685,31.93
607486,31.81
123216,36.07
784647,69331.16
52903,36.18
286517,36.18
14942,87389.08
88087,29.63
990650,25.25
661119,14.4
969012,35.43
397577,30.66
566476,15.28
982729,27.05
80106,110598.78
430843,36.07
502337,35360
544542,26.57
57403,87389.08
116850,16.57
266712,40.09
966206,13.63
254634,13.5
359609,36.07
414241,16.57
95092,50.55
571706,53.4
970396,48.55
707761,16.57
7345,100378.53
199962,36.07
778964,19.93
108785,37.45
748834,36.18
378951,13.63
682694,36.07
636141,36.07
691859,47.3
357046,59046.21
849424,36.2
891641,23.45
983493,44.04
537778,14.4
990151,13.63
351935,36.2
683532,36.07
491310,36.07
211425,77310.77
474364,40.8
347258,35.43
571424,36.2
45360,36.07
332660,40.09
999718,44.81
191666,53.4
574273,35.59
386734,36.07
487779,69331.16
386794,36.59
166121,45.5
182714,45.5
200586,35.43
572327,28.85
605123,80000
266488,37.5
364315,27.05
464425,87389.08
860379,40.09
350508,59046.21
878566,48.55
450099,40.27
352571,16.57
491999,36.07
765251,32.46
163845,14.4
106506,23.45
546229,36.07
524210,72757.98
122443,36.07
480224,32.46
604113,37.28
853430,23.45
585539,36.07
288913,14.4
431695,36.07
121711,39.15
453958,23.45
461576,28.85
914448,73080.01
469542,36.32
949123,22.99
341263,36.07
411295,36.07
576847,36.07
323533,14.4
727750,36.07
734666,35.43
794479,36.07
476085,37.5
732215,19.93
849464,36.18
379157,30.66
428638,87389.08
281625,42.04
4505,48.35
60307,96835.98
249906,30.66
96948,130560
447002,40.09
912159,37.28
818767,23.45
68819958,30.66
351265,36.07
728506,36.09
716995,36.07
186465,30.66
399793,32.46
550794,36.07
613521,28.85
424030,36.07
938235,36.18
102033,36.07
622009,35.43
977937,19.93
30950,108811.1
117292,36.07
257641,25.25
470389,37.84
669866,36.07
904957,16.57
382875,36.07
850810,27.05
128184,39.15
904903,37.28
14924,36.07
429530,33.46
47050,40.09
670148,35.43
12766,35.43
688345,36.07
86047,13.5
309324,32.46
624553,27.05
416144,39.9
563331,87389.08
519840,36.07
142799,27.05
1589,87389.08
788958,23.45
167429,49390.52
106624,36.07
608912,62642.13
908367,36.07
781951,36.07
184162,23.45
98001198,36.07
555567,23.45
353221,36.07
33142311,49.42
777415,35.43
503363,41.27
5166,29.82
512633,16.57
220126,36.07
602245,27.05
909096,38.91
576346,37.28
29192,35.43
528274,77310.77
604260,53.21
3064,36.07
558408,41.27
64299,30.66
315767,22.99
795837,23.45
597440,19.93
859438,48.93
645441,23.45
354425,123997.1
266205,36.07
18853,14.4
374610,36.07
922655,30.66
40666,23.45
670385,15.28
7737,36.07
148479,23.45
438060,23.45
856052,25.25
645245,47.3
107016,24.76
833157,36.07
90262,37.28
185736,27.05
155873,36.07
278695,30.66
715433,36.07
958531,36.07
487066,36.07
214455,46.88
557462,46.88
721193,23.45
186022,48.55
439071,48.93
49736,34.49
432851,21.46
238663,16.57
395981,27.05
980951,13.5
762866,87389.08
200262,41.27
807536,36.07
647132,24.53
908229,92390.33
670990,36.32
994475,37.28
71846,14.4
696783,13.63
523709,36.07
475504,37.5
33832,27.05
928443,36.18
754413,35.25
470743,27.05
501991,23.45
350683,37.84
862280,13.5
645668,30.66
693616,23.45
778417,36.07
909471,13.5
400622,77310.77
811212,36.18
931780,30.66
544678,30.66
32578,38.92
381375,16.57
799662,36.07
320351,36.09
702031,37.5
231393,41.95
424476,23.45
380980,37.28
325812,36.07
360794,36.07
958729,36.07
578176,36.07
209454,13.5
84003,13.63
160420,47.3
900352,36.07
172572,48.35
584029,35.43
226818,36.07
723360,38.21
496056,36.07
439920,27.05
92276,16.57
894425,36.07
628245,13.5
363608,67094.68
990792,36.07
318046,37.28
602878,36.07
475301,36.07
600990,36.07
923826,36.07
55125,67094.68
191582,23.45
409949,14.4
525172,36.07
386631,27.05
330900,87389.08
197465,25.25
47314,37.28
733355,113078.2
218638,49.35
649262,65126.71
802313,27.05
546326,36.07
427898,36.07
314965,74221.97
254685,48.55
638446,48.55
775190,25.25
905165,36.07
186631,23.45
488888,39.9
548121,46.88
627600,16.57
158805,35.43
244366,13.5
504935,87389.08
711891,25.25
228415,16.57
508751,16.57
985467,36.07
127913,36.07
299469,106283.76
659135,16.57
124042,16.21
93993,36.07
163416,36.07
934765,36.07
571373,36.07
342505,32.46
142769,43.17
636565,23.45
530954,87389.08
389554,40.09
834390,16.57
897079,87389.08
227329,30.66
62184,23.45
590055,48.55
317643,23.45
194260,23.45
75066,36.07
296747,36.07
967950,37.45
353665,39.62
219774,36.07
551236,36.07
187072,36.07
680901,36.07
991632,36.07
102254,27.05
694043,27.05
649707,44.71
221414,36.07
463556,27.05
769583,35.43
990771,46.88
782246,36.07
661010,29.82
19135,40.8
975635,59046.21
179215,19.93
610879,25.25
810442,16.57
784432,39.62
65936,36.07
848220,36.07
963664,30.66
722419,48.55
54325,47.41
788070,23.45
751912,49.35
796486,49.26
440639,37.45
462692,23.45
616199,36.07
895644,22.99
75308,25.25
78811,23.45
163227,68268.84
183289,36.07
754443,51.43
74700,96835.98
613769,36.07
733178,37.28
75251,23.45
799333,48.93
581044,36.07
941574,13.5
669164,36.07
516687,36.07
333598,23.45
6642,36.07
938447,36.07
