stop_id,routes,cross_street,on_street,dept_name
202,8,HARRISON,HALSTED,Bus Operations
203,8,VAN BUREN,HALSTED,Bus Operations
204,8,JACKSON,HALSTED,Bus Operations
205,8,BLUE LINE (FOREST PARK),HALSTED,Bus Operations
206,7&60&755,HALSTED,HARRISON,Bus Operations
207,7&60,900 WEST,HARRISON,Bus Operations
208,7&60,MORGAN,HARRISON,Bus Operations
209,7&60,1100 WEST,HARRISON,Bus Operations
210,7& 755,RACINE,HARRISON,Bus Operations
211,7,1232 WEST,HARRISON,Bus Operations
212,7,1336 WE ST,HARRISON,Bus Operations
213,7,LOOMIS,HARRISON,Bus Operations
214,7,LAFLIN,HARRISON,Bus Operations
215,7,ASHLAND,HARRISON,Bus Operations
216,7,HOYNE,HARRISON,Bus Operations
217,7,LEAVITT,HARRISON,Bus Operations
218,7,OAKLEY,HARRISON,Bus Operations
219,7,WESTERN,HARRISON,Bus Operations
220,7,CAMPBELL,HARRISON,Bus Operations
221,7,MAPLEWOOD (west leg),HARRISON,Bus Operations
222,7,WASHTENAW,HARRISON,Bus Operations
223,7,CALIFORNIA,HARRISON,Bus Operations
224,7,FRANCISCO,HARRISON,Bus Operations
225,7,SACRAMENTO,HARRISON,Bus Operations
226,7,ALBANY,HARRISON,Bus Operations
227,7,KEDZIE,HARRISON,Bus Operations
228,7,KEDZIE,CONGRESS,Bus Operations
229,7,SPAULDING,CONGRESS,Bus Operations
230,7,HOMAN,CONGRESS,Bus Operations
231,7,ST. LOUIS,CONGRESS,Bus Operations
233,7&126,3700 WEST,CONGRESS,Bus Operations
5392,36,ELM,STATE,Bus Operations
234,7&126,HAMLIN/INDEPENDENCE,CONGRESS,Bus Operations
235,7,SPRINGFIELD,CONGRESS,Bus Operations
237,7,KARLOV,CONGRESS,Bus Operations
239,7,KILDARE,CONGRESS,Bus Operations
240,7,KOSTNER,HARRISON,Bus Operations
241,7,KILBOURN (east leg),HARRISON,Bus Operations
242,7,KOLMAR (west leg),HARRISON,Bus Operations
243,7,4630 WEST,HARRISON,Bus Operations
244,7,KILPATRICK,HARRISON,Bus Operations
246,7&57,LAVERGNE,HARRISON,Bus Operations
247,7&57,LEAMINGTON,HARRISON,Bus Operations
248,7&57,LARAMIE,HARRISON,Bus Operations
249,7,LOCKWOOD,HARRISON,Bus Operations
250,7,5400 WEST,HARRISON,Bus Operations
252,7,CENTRAL,HARRISON,Bus Operations
257,12,5500 WEST,ROOSEVELT,Bus Operations
258,12,54TH AVENUE,ROOSEVELT,Bus Operations
259,12,5300 W. (Kropp Forge Co.),ROOSEVELT,Bus Operations
260,12,LARAMIE,ROOSEVELT,Bus Operations
261,12,51ST AVENUE,ROOSEVELT,Bus Operations
262,12,50TH AVENUE,ROOSEVELT,Bus Operations
263,12,49TH AVENUE,ROOSEVELT,Bus Operations
265,12,47TH AVENUE,ROOSEVELT,Bus Operations
268,12,KILBOURN,ROOSEVELT,Bus Operations
270,12,KILDARE,ROOSEVELT,Bus Operations
272,12,KARLOV,ROOSEVELT,Bus Operations
274,12,SPRINGFIELD,ROOSEVELT,Bus Operations
275,12,INDEPENDENCE,ROOSEVELT,Bus Operations
277,12,LAWNDALE,ROOSEVELT,Bus Operations
278,12,CENTRAL PARK,ROOSEVELT,Bus Operations
279,12,ST. LOUIS,ROOSEVELT,Bus Operations
283,12,ALBANY,ROOSEVELT,Bus Operations
284,12,SACRAMENTO,ROOSEVELT,Bus Operations
285,12,FRANCISCO,ROOSEVELT,Bus Operations
287,12,WASHTENAW,ROOSEVELT,Bus Operations
288,12,TALMAN,ROOSEVELT,Bus Operations
296,12,WOLCOTT,ROOSEVELT,Bus Operations
297,12,WOOD,ROOSEVELT,Bus Operations
298,12,PAULINA,ROOSEVELT,Bus Operations
300,12,LAFLIN,ROOSEVELT,Bus Operations
